APPLE,BREAD,BUTTER,CHEESE,CORN,DILL,EGGS,ICE CREAM,KIDNEY BEANS,MILK,NUTMEG,ONION,SUGAR,UNICORN,YOGURT,CHOCOLATE
 ,Bread, , ,Corn,Dill, ,IceCream, , , , ,Sugar, , Yogurt, Chocolate
 , , , , , , , , ,Milk, , , , , , 
Apple, ,Butter, , ,Dill, ,IceCream, ,Milk, , , , , Yogurt, Chocolate
 , ,Butter,Cheese, ,Dill, , , ,Milk,Nutmeg,Onion, , , , 
Apple,Bread, , , , , , , , , , , , , , 
Apple,Bread,Butter,Cheese, ,Dill, ,IceCream, , ,Nutmeg, , , Unicorn, Yogurt, Chocolate
 , ,Butter, , , ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , , Yogurt, 
Apple, , ,Cheese, , ,Eggs, , , ,Nutmeg, ,Sugar, , Yogurt, 
Apple, , , ,Corn,Dill,Eggs,IceCream, ,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple, , , , ,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, , Chocolate
Apple,Bread, ,Cheese, , , ,IceCream, , , , ,Sugar, Unicorn, , 
Apple,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, Chocolate
 , , , , , , , , , , ,Onion, , Unicorn, , Chocolate
 , , , , , , ,IceCream, , , , ,Sugar, , Yogurt, 
 , ,Butter, , , , , ,KidneyBeans, , , , , , , 
 , , , , , , , , , , , , , , Yogurt, 
Apple,Bread,Butter,Cheese, , , ,IceCream, , ,Nutmeg, ,Sugar, , , 
Apple, , , , , ,Eggs, , , , , , , , Yogurt, Chocolate
 ,Bread, ,Cheese, , , , ,KidneyBeans, , , ,Sugar, , , 
 ,Bread, , ,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
Apple, , ,Cheese, , , ,IceCream, , , , ,Sugar, Unicorn, , 
Apple, ,Butter,Cheese, , , , ,KidneyBeans, , , , , Unicorn, Yogurt, 
 ,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans,Milk, , , , Unicorn, Yogurt, Chocolate
 ,Bread,Butter,Cheese, , ,Eggs,IceCream,KidneyBeans, , , ,Sugar, Unicorn, , Chocolate
 ,Bread, , ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, 
 ,Bread,Butter, , , ,Eggs, , ,Milk, , , , , Yogurt, Chocolate
 ,Bread,Butter,Cheese,Corn, , , ,KidneyBeans,Milk, , , , Unicorn, , Chocolate
 ,Bread,Butter, , , , , , , , , , , , , 
 ,Bread,Butter, , , , , ,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, Chocolate
Apple,Bread, , , , , ,IceCream, , , ,Onion, , , Yogurt, 
 , , , ,Corn,Dill, , , ,Milk, , , , Unicorn, , Chocolate
Apple,Bread,Butter, , ,Dill, , , ,Milk, , , , Unicorn, Yogurt, 
 , , ,Cheese, , ,Eggs, ,KidneyBeans, , , , , , , 
 , , , , ,Dill, , , ,Milk,Nutmeg, ,Sugar, , , 
 ,Bread, , , ,Dill, ,IceCream, , , ,Onion, , , , Chocolate
 , , ,Cheese, ,Dill,Eggs, , , , ,Onion, , Unicorn, , Chocolate
Apple, , ,Cheese,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , , , ,Corn, ,Eggs,IceCream, ,Milk,Nutmeg, , , , , Chocolate
 , ,Butter, , , , , ,KidneyBeans, , , ,Sugar, , , 
 ,Bread, ,Cheese,Corn, ,Eggs,IceCream, , ,Nutmeg, , , , Yogurt, 
Apple,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans, , , , , Unicorn, , Chocolate
 ,Bread,Butter, , , , , , , , , , , , Yogurt, Chocolate
 ,Bread, , , , , , , , , ,Onion, , , , 
Apple,Bread, , ,Corn,Dill, ,IceCream,KidneyBeans,Milk, ,Onion, , , , Chocolate
 , , , , , , ,IceCream, , , , ,Sugar, , , 
 ,Bread, , ,Corn,Dill,Eggs,IceCream, ,Milk, , , , Unicorn, , 
 , , , , , , , , , , ,Onion, , , , 
Apple, , , , , , , , , , ,Onion, , , , Chocolate
 ,Bread, , , ,Dill, , , , , , ,Sugar, , Yogurt, Chocolate
 ,Bread,Butter,Cheese, ,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, , , 
Apple, ,Butter,Cheese,Corn,Dill, , ,KidneyBeans,Milk, , , , Unicorn, , Chocolate
Apple,Bread,Butter, , , , , , , , ,Onion,Sugar, Unicorn, , Chocolate
Apple, , , ,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , 
 , , , , ,Dill, , , , , , ,Sugar, Unicorn, , 
Apple, , , , , , , , , , , , , , , 
 ,Bread, , , , , ,IceCream, , ,Nutmeg, , , Unicorn, , 
 ,Bread, , ,Corn,Dill, , ,KidneyBeans,Milk,Nutmeg, , , , Yogurt, Chocolate
 , , , , , , ,IceCream,KidneyBeans, , , , , , Yogurt, 
Apple, , ,Cheese, ,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg, , , , , 
 , , , , , , , , , , , , , , Yogurt, Chocolate
Apple, , , , , , , , ,Milk, ,Onion, , , , Chocolate
Apple,Bread, ,Cheese, , , , ,KidneyBeans,Milk,Nutmeg, ,Sugar, , Yogurt, 
 ,Bread,Butter,Cheese,Corn,Dill,Eggs, , ,Milk,Nutmeg, , , , Yogurt, Chocolate
 , , , , , , , , , , , , , , Yogurt, 
 , , , , , , ,IceCream, ,Milk, ,Onion,Sugar, Unicorn, , Chocolate
Apple,Bread, , ,Corn,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
Apple, ,Butter, ,Corn, , ,IceCream,KidneyBeans, ,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
 ,Bread, ,Cheese, ,Dill, ,IceCream,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , , , , , , , , , , , , , Unicorn, , 
 ,Bread, ,Cheese,Corn,Dill,Eggs, , ,Milk, , , , , Yogurt, 
 , , , , ,Dill, ,IceCream, , , , ,Sugar, Unicorn, , Chocolate
 ,Bread, , , ,Dill,Eggs,IceCream,KidneyBeans, , , , , , Yogurt, Chocolate
Apple, , , ,Corn, ,Eggs, ,KidneyBeans, ,Nutmeg, ,Sugar, , , Chocolate
 , ,Butter, ,Corn, , ,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , , , , , , , , , , ,Onion, , , , 
Apple,Bread, ,Cheese,Corn,Dill, ,IceCream, ,Milk, , , , Unicorn, , Chocolate
Apple, , , , , ,Eggs,IceCream, , ,Nutmeg, , , , , 
Apple,Bread,Butter, , ,Dill, , , , ,Nutmeg,Onion, , , Yogurt, Chocolate
 , , ,Cheese, ,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion,Sugar, , , Chocolate
 , ,Butter,Cheese, , , ,IceCream, , ,Nutmeg, , , , , 
 , , ,Cheese, , ,Eggs, , , , ,Onion, , Unicorn, Yogurt, 
 ,Bread,Butter,Cheese, ,Dill,Eggs, , , , ,Onion, , Unicorn, Yogurt, 
Apple, ,Butter, ,Corn, , , , , , , ,Sugar, , , 
Apple, , , , , , , , , , , , , , , 
Apple,Bread,Butter,Cheese,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, 
Apple, ,Butter, , , , , , ,Milk, ,Onion,Sugar, , Yogurt, Chocolate
Apple, , , ,Corn,Dill, , ,KidneyBeans,Milk,Nutmeg, , , , , Chocolate
 , ,Butter, , , ,Eggs, ,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
Apple, , ,Cheese, ,Dill, ,IceCream, , , , , , , , Chocolate
Apple, , ,Cheese,Corn,Dill,Eggs, ,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread,Butter, ,Corn,Dill, , ,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , , ,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , , Yogurt, Chocolate
Apple, ,Butter, ,Corn,Dill, , , , , ,Onion,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread,Butter,Cheese,Corn, ,Eggs,IceCream, , ,Nutmeg,Onion, , , Yogurt, Chocolate
Apple, , , , ,Dill, , , ,Milk,Nutmeg,Onion, , , Yogurt, 
 ,Bread, , ,Corn,Dill, , , ,Milk, ,Onion, , , , 
Apple, ,Butter, ,Corn,Dill, , ,KidneyBeans, ,Nutmeg, , , , Yogurt, 
 , , , , , , , , , , , , , , Yogurt, 
Apple, ,Butter, ,Corn, ,Eggs, ,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
 ,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk, ,Onion,Sugar, , Yogurt, Chocolate
 ,Bread, , , , ,Eggs, , , , , , , , , 
 ,Bread,Butter,Cheese, , , ,IceCream, ,Milk, , ,Sugar, , , Chocolate
 , , ,Cheese, , ,Eggs, , , , , ,Sugar, , Yogurt, Chocolate
 ,Bread, , , , , , , , , , , , Unicorn, , 
 ,Bread, ,Cheese, , ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, , 
 , , , ,Corn, ,Eggs, , ,Milk, , , , , , 
Apple, , ,Cheese, ,Dill,Eggs, ,KidneyBeans, , ,Onion, , Unicorn, , Chocolate
 , , , , , , , ,KidneyBeans, , , , , Unicorn, Yogurt, 
 , , , , , , , , , , , , , , Yogurt, 
 , , , , , , , , , ,Nutmeg, , , , , 
Apple, , ,Cheese,Corn,Dill, , , ,Milk,Nutmeg,Onion, , , Yogurt, 
Apple,Bread,Butter,Cheese,Corn,Dill, , , , , ,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread, , ,Corn, ,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, , , , , Chocolate
 , ,Butter, , , ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , , , 
Apple,Bread, ,Cheese, ,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, , Yogurt, 
Apple, , ,Cheese, , ,Eggs, ,KidneyBeans, , , , , , , 
 ,Bread,Butter, ,Corn, ,Eggs,IceCream, , , ,Onion,Sugar, Unicorn, , 
Apple,Bread,Butter,Cheese, , , , , ,Milk, ,Onion,Sugar, , , Chocolate
Apple, , ,Cheese,Corn,Dill, ,IceCream, , , , ,Sugar, , Yogurt, 
 , , , ,Corn, ,Eggs, , , ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , ,Butter,Cheese, ,Dill, ,IceCream, , , , ,Sugar, , , 
 , , ,Cheese, , , , , , ,Nutmeg,Onion, , , Yogurt, 
 , ,Butter, ,Corn, , ,IceCream,KidneyBeans, , , , , Unicorn, Yogurt, 
 ,Bread, , ,Corn,Dill,Eggs, ,KidneyBeans, ,Nutmeg, , , , Yogurt, Chocolate
 , , ,Cheese, , , , , , , , , , , , 
 ,Bread,Butter, , ,Dill,Eggs, , , , , , , , Yogurt, 
Apple, , , , , , ,IceCream, , , ,Onion, , , Yogurt, Chocolate
 , , , , , , , ,KidneyBeans, ,Nutmeg, ,Sugar, , , Chocolate
Apple, ,Butter,Cheese,Corn, ,Eggs, , ,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
 ,Bread,Butter, ,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
Apple, ,Butter, , , , , , , , , , , Unicorn, Yogurt, Chocolate
Apple,Bread,Butter, , ,Dill, , , ,Milk,Nutmeg, ,Sugar, , , Chocolate
Apple, , ,Cheese, ,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
 , , ,Cheese, ,Dill,Eggs, ,KidneyBeans,Milk,Nutmeg, , , Unicorn, , Chocolate
 , , , , , , , ,KidneyBeans, ,Nutmeg, ,Sugar, , , 
 , ,Butter,Cheese,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion, , , Yogurt, 
 ,Bread,Butter, , ,Dill,Eggs,IceCream, ,Milk, ,Onion, , Unicorn, Yogurt, Chocolate
Apple, , , ,Corn,Dill,Eggs, , ,Milk, , , , , Yogurt, Chocolate
 , , , , , , , ,KidneyBeans, , , , , , , 
 , , ,Cheese,Corn, , , ,KidneyBeans,Milk, ,Onion, , , , 
Apple, ,Butter,Cheese,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple,Bread,Butter, ,Corn, , , , ,Milk,Nutmeg, , , Unicorn, Yogurt, 
 , , ,Cheese, ,Dill,Eggs, , , , , , , Unicorn, , 
Apple,Bread, , ,Corn, ,Eggs,IceCream,KidneyBeans, , ,Onion,Sugar, , Yogurt, 
 , , , , , , , ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, 
 ,Bread,Butter,Cheese,Corn, , , ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, , 
 , , , , ,Dill, ,IceCream, ,Milk, ,Onion,Sugar, , , 
 , , , ,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple,Bread, ,Cheese, , ,Eggs, , , , , , , , , Chocolate
 , , , , , ,Eggs, , , ,Nutmeg, ,Sugar, Unicorn, Yogurt, 
Apple,Bread,Butter, ,Corn, , ,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
 , , ,Cheese,Corn, , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, 
 , , , , , , , ,KidneyBeans, , , , , , , 
 , , , , , , , , , , , , , Unicorn, , 
 , , ,Cheese, , , , ,KidneyBeans,Milk, , ,Sugar, Unicorn, , 
 , , , ,Corn, , , ,KidneyBeans, , , ,Sugar, Unicorn, , 
 ,Bread,Butter, ,Corn, , , ,KidneyBeans, , , , , , Yogurt, 
Apple, ,Butter, , ,Dill,Eggs,IceCream,KidneyBeans,Milk, ,Onion,Sugar, , Yogurt, 
 , , , ,Corn, , , , , , , , , , , 
Apple, , , ,Corn, , , , ,Milk,Nutmeg, ,Sugar, , , 
 , , , , ,Dill, , , , , , , , , , 
 , , , ,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, , , Unicorn, , Chocolate
 , , , , , ,Eggs, ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
 , ,Butter, ,Corn,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple, ,Butter, ,Corn,Dill,Eggs,IceCream, , , , ,Sugar, Unicorn, , Chocolate
 , , , , , , , , , , , , , , Yogurt, 
Apple,Bread,Butter,Cheese,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , Chocolate
 ,Bread, , , ,Dill, , , , ,Nutmeg,Onion, , Unicorn, Yogurt, 
 , , , , , , ,IceCream, , , , , , , , 
Apple,Bread, , , , , , , , , , , , , , 
 ,Bread,Butter, , , ,Eggs,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , , Chocolate
Apple, ,Butter,Cheese, ,Dill, ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, Yogurt, 
 , , , , , , , , , , ,Onion, , , , Chocolate
 ,Bread, , , , ,Eggs, , , , , ,Sugar, , , Chocolate
 ,Bread, ,Cheese, , , , , , , ,Onion, , , , Chocolate
 , ,Butter,Cheese, , , , , , ,Nutmeg, , , , , 
 , ,Butter,Cheese, ,Dill,Eggs, ,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, 
 ,Bread, ,Cheese,Corn, , , , ,Milk,Nutmeg, ,Sugar, , Yogurt, Chocolate
 ,Bread, , , , , , ,KidneyBeans, , , , , , , 
 , , , , , , ,IceCream, ,Milk, , , , , , Chocolate
 , ,Butter,Cheese,Corn,Dill, , , ,Milk, , ,Sugar, Unicorn, , Chocolate
Apple, ,Butter,Cheese, , ,Eggs, , , , ,Onion,Sugar, , Yogurt, Chocolate
 , , , , ,Dill, , , , ,Nutmeg, , , , , 
Apple,Bread,Butter, ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , ,Butter, , , , , , , ,Nutmeg, , , , , Chocolate
 , ,Butter,Cheese, , , ,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple, ,Butter,Cheese, ,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , , , ,Corn, , ,IceCream, , ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple, ,Butter,Cheese,Corn,Dill, , ,KidneyBeans, , , ,Sugar, Unicorn, Yogurt, 
Apple,Bread, , ,Corn,Dill, , ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
Apple, , ,Cheese,Corn, , ,IceCream,KidneyBeans, , , , , , Yogurt, 
Apple, , ,Cheese, , , , , ,Milk, , , , , , 
Apple,Bread,Butter,Cheese, ,Dill, ,IceCream, , ,Nutmeg,Onion,Sugar, , , Chocolate
 , , ,Cheese,Corn, ,Eggs, ,KidneyBeans, , ,Onion, , Unicorn, Yogurt, 
 , ,Butter,Cheese, ,Dill,Eggs,IceCream, , , ,Onion, , Unicorn, , Chocolate
 , , , ,Corn,Dill, , , ,Milk, , , , , , 
Apple,Bread, ,Cheese,Corn,Dill,Eggs, , ,Milk, ,Onion,Sugar, Unicorn, , 
 ,Bread,Butter,Cheese, , ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , , , 
Apple, , , , , , ,IceCream, ,Milk, , , , , , Chocolate
 , ,Butter,Cheese, ,Dill, ,IceCream,KidneyBeans,Milk, , ,Sugar, , Yogurt, 
 , , , , ,Dill, ,IceCream, , ,Nutmeg,Onion, , , , Chocolate
 , ,Butter, , , , ,IceCream, ,Milk, , ,Sugar, Unicorn, , Chocolate
 ,Bread,Butter, , ,Dill,Eggs,IceCream,KidneyBeans,Milk, ,Onion, , Unicorn, , 
 , , , , , , ,IceCream, , , , , , Unicorn, , 
 ,Bread, ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, , , , , Unicorn, Yogurt, 
Apple, , , ,Corn, , , , , , , ,Sugar, , , 
 , , ,Cheese,Corn, , , , ,Milk, , ,Sugar, , Yogurt, Chocolate
 , , ,Cheese, , , , ,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, , 
 , , , , , , , , , ,Nutmeg, ,Sugar, Unicorn, Yogurt, 
 ,Bread,Butter,Cheese, ,Dill, ,IceCream, , ,Nutmeg,Onion, , Unicorn, , Chocolate
Apple,Bread,Butter, ,Corn,Dill,Eggs,IceCream,KidneyBeans, , , ,Sugar, , Yogurt, 
Apple,Bread,Butter, ,Corn, , ,IceCream,KidneyBeans, , , , , , , Chocolate
 ,Bread,Butter,Cheese, , ,Eggs, , ,Milk,Nutmeg, , , , Yogurt, Chocolate
 , , , , , ,Eggs, , , , , , , , , 
 , ,Butter, , , ,Eggs, ,KidneyBeans,Milk, ,Onion, , , Yogurt, Chocolate
 , ,Butter, , ,Dill, , , , ,Nutmeg, ,Sugar, Unicorn, , Chocolate
 ,Bread,Butter,Cheese,Corn, ,Eggs,IceCream, ,Milk,Nutmeg,Onion, , , , Chocolate
Apple, , , ,Corn, ,Eggs,IceCream, , ,Nutmeg, , , , , 
Apple,Bread, , , ,Dill, , , , ,Nutmeg, ,Sugar, Unicorn, , 
 , , , , ,Dill, , , , , ,Onion, , , , 
 , , , , , ,Eggs,IceCream, , ,Nutmeg,Onion, , , , Chocolate
Apple,Bread, , , , ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, 
 , , ,Cheese, , ,Eggs, ,KidneyBeans, , , , , , , Chocolate
 ,Bread,Butter, , ,Dill, , , , ,Nutmeg,Onion, , , Yogurt, Chocolate
Apple, ,Butter,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
Apple, ,Butter, , , ,Eggs,IceCream, ,Milk, , ,Sugar, , , 
 , , ,Cheese,Corn, ,Eggs, , , , , ,Sugar, Unicorn, Yogurt, 
 ,Bread, , , , , , , , , , , , Unicorn, , 
Apple, ,Butter,Cheese,Corn,Dill,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, , 
Apple, , , ,Corn, , , , , , , , , , , 
 ,Bread, , ,Corn,Dill, , , ,Milk, , , , , , Chocolate
Apple, , ,Cheese,Corn,Dill, , , , ,Nutmeg, ,Sugar, , , 
 , ,Butter, , , , ,IceCream, ,Milk, , , , , Yogurt, Chocolate
 , , ,Cheese,Corn, , , , , ,Nutmeg, ,Sugar, , , 
Apple,Bread, , , , , , , , , , , , , , 
 , , , , ,Dill, , , , , , , , , , 
 , , , , , , ,IceCream, , ,Nutmeg, ,Sugar, Unicorn, , 
 , , , ,Corn, , , , , , ,Onion, , , , 
Apple,Bread,Butter,Cheese,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
 ,Bread,Butter, ,Corn, , , , , , , , , Unicorn, Yogurt, 
 ,Bread, , , , , , , , , , , , Unicorn, Yogurt, 
Apple,Bread, , ,Corn,Dill, , , ,Milk, , , , , , Chocolate
 , , , , ,Dill, , , , , , , , , , 
Apple, ,Butter,Cheese, , , ,IceCream,KidneyBeans,Milk, , ,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread, , , ,Dill,Eggs,IceCream, , , , ,Sugar, , , 
Apple, , ,Cheese,Corn, , , , ,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , ,Butter, ,Corn, , , ,KidneyBeans, , ,Onion, , , , 
Apple, , , ,Corn,Dill, , , , ,Nutmeg,Onion, , , , 
 ,Bread, ,Cheese, , ,Eggs, , ,Milk,Nutmeg, , , Unicorn, , 
Apple, ,Butter,Cheese, , , ,IceCream,KidneyBeans,Milk, , , , , , Chocolate
 , ,Butter, ,Corn,Dill,Eggs,IceCream, , ,Nutmeg,Onion, , , Yogurt, Chocolate
Apple,Bread,Butter,Cheese, , , ,IceCream,KidneyBeans, , ,Onion,Sugar, , , 
 , ,Butter, , , , , , , , , , , , , 
 ,Bread,Butter, , ,Dill, , , , ,Nutmeg, , , Unicorn, Yogurt, 
