APPLE,BREAD,BUTTER,CHEESE,CORN,DILL,EGGS,ICE CREAM,KIDNEY BEANS,MILK,NUTMEG,ONION,SUGAR,UNICORN,YOGURT,CHOCOLATE
 ,Bread, , ,Corn, , , , , , , , , , Yogurt, 
Apple, ,Butter, ,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , , , Chocolate
 , , , ,Corn, , , , , , , , , , Yogurt, 
Apple, ,Butter,Cheese,Corn, , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , Chocolate
 , , ,Cheese, , , , , , , , , , , , 
 , ,Butter, , , , ,IceCream,KidneyBeans,Milk, , ,Sugar, Unicorn, , Chocolate
 , , , ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg, , , , , 
Apple, , ,Cheese,Corn,Dill, , ,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, , Chocolate
Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,IceCream, , , ,Onion, , Unicorn, , 
Apple, , ,Cheese,Corn,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, Unicorn, , Chocolate
 , , , ,Corn,Dill, , , , , , , , , , 
Apple, , , , , , , , , , , , , , , 
 , ,Butter, , , , ,IceCream,KidneyBeans, , , , , , , 
Apple,Bread, ,Cheese,Corn,Dill,Eggs, ,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
 ,Bread, ,Cheese,Corn, , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
 , , , , , , , ,KidneyBeans, , , , , , , 
Apple,Bread, , ,Corn, , , , ,Milk,Nutmeg,Onion, , , Yogurt, 
 ,Bread,Butter,Cheese,Corn, ,Eggs, , , ,Nutmeg,Onion, , , Yogurt, Chocolate
 , , , ,Corn, , , ,KidneyBeans,Milk, , , , Unicorn, , 
Apple,Bread, ,Cheese, , , ,IceCream, , ,Nutmeg,Onion, , Unicorn, , 
 , , ,Cheese, ,Dill, , ,KidneyBeans, ,Nutmeg,Onion,Sugar, , , 
Apple, ,Butter, ,Corn,Dill, , ,KidneyBeans,Milk, ,Onion, , Unicorn, , 
Apple,Bread,Butter, ,Corn, ,Eggs,IceCream, , , , ,Sugar, Unicorn, Yogurt, 
 , ,Butter,Cheese, , ,Eggs,IceCream,KidneyBeans, , ,Onion, , Unicorn, Yogurt, 
 ,Bread,Butter, ,Corn, , , , ,Milk, , , , Unicorn, Yogurt, 
Apple,Bread,Butter, ,Corn, , ,IceCream, , , , ,Sugar, Unicorn, Yogurt, 
 , , , ,Corn,Dill, ,IceCream, ,Milk,Nutmeg,Onion, , , , 
 ,Bread,Butter, ,Corn, ,Eggs, ,KidneyBeans, , ,Onion,Sugar, , Yogurt, Chocolate
 ,Bread,Butter,Cheese, , , , , , , ,Onion,Sugar, , Yogurt, 
 , ,Butter,Cheese,Corn, , ,IceCream, ,Milk, , , , Unicorn, Yogurt, 
Apple,Bread,Butter, ,Corn, ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, , , Chocolate
 , , , , , ,Eggs, , , , , , , Unicorn, Yogurt, 
Apple, ,Butter, , , ,Eggs, ,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, 
Apple,Bread, , , ,Dill,Eggs,IceCream, ,Milk,Nutmeg, ,Sugar, , Yogurt, Chocolate
Apple,Bread,Butter, , ,Dill, , ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, , Chocolate
 ,Bread, ,Cheese, ,Dill, , , ,Milk, ,Onion, , , , Chocolate
 , ,Butter,Cheese,Corn, ,Eggs,IceCream,KidneyBeans, , , , , , Yogurt, Chocolate
Apple,Bread, , , ,Dill, , , ,Milk, ,Onion,Sugar, Unicorn, , Chocolate
 , ,Butter,Cheese, ,Dill,Eggs, ,KidneyBeans, ,Nutmeg, , , Unicorn, , Chocolate
 , ,Butter, ,Corn, ,Eggs, ,KidneyBeans, ,Nutmeg,Onion, , , Yogurt, Chocolate
 , ,Butter,Cheese,Corn,Dill, ,IceCream,KidneyBeans,Milk, ,Onion, , , , Chocolate
Apple, ,Butter,Cheese, , , , , , , , ,Sugar, Unicorn, Yogurt, Chocolate
Apple, , ,Cheese,Corn, , , , , , , , , , , Chocolate
 , , ,Cheese,Corn,Dill, ,IceCream, , ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple, , , ,Corn, , , ,KidneyBeans, , , , , , , 
Apple, , ,Cheese, , ,Eggs,IceCream,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread, ,Cheese, ,Dill,Eggs, ,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, Chocolate
 ,Bread, ,Cheese, , , , , , , , , , , , Chocolate
Apple, , ,Cheese,Corn,Dill,Eggs,IceCream, , , ,Onion,Sugar, , Yogurt, 
 ,Bread, , ,Corn, ,Eggs, , , ,Nutmeg,Onion, , Unicorn, , Chocolate
 , , ,Cheese,Corn, , ,IceCream, , ,Nutmeg, ,Sugar, , , 
 , , , , ,Dill, , ,KidneyBeans, , , , , , , 
Apple, ,Butter, , , ,Eggs, ,KidneyBeans,Milk,Nutmeg, ,Sugar, , Yogurt, 
Apple, ,Butter, ,Corn, ,Eggs, , ,Milk,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
Apple, ,Butter,Cheese,Corn, , ,IceCream,KidneyBeans, , ,Onion, , Unicorn, , 
 , , , ,Corn,Dill, ,IceCream, ,Milk, , ,Sugar, Unicorn, , Chocolate
Apple, , , , ,Dill, ,IceCream,KidneyBeans, , , , , , , Chocolate
Apple, ,Butter,Cheese, ,Dill,Eggs, , ,Milk, , ,Sugar, , , Chocolate
 , ,Butter, ,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, , Yogurt, 
Apple,Bread,Butter,Cheese, ,Dill,Eggs, , ,Milk, ,Onion,Sugar, , , 
Apple,Bread, , ,Corn,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread,Butter,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk, , , , , Yogurt, Chocolate
Apple, ,Butter,Cheese, , ,Eggs, ,KidneyBeans, ,Nutmeg,Onion, , , , 
 ,Bread, ,Cheese,Corn, , , ,KidneyBeans,Milk, , ,Sugar, , Yogurt, 
 , , , ,Corn, ,Eggs, , , , , , , Unicorn, Yogurt, Chocolate
 , , ,Cheese, ,Dill, ,IceCream,KidneyBeans, , , ,Sugar, , Yogurt, Chocolate
 ,Bread, ,Cheese,Corn,Dill, ,IceCream,KidneyBeans, , ,Onion, , , , 
 , , , , ,Dill,Eggs, , , , ,Onion, , Unicorn, , Chocolate
 , , , , ,Dill, , , , , ,Onion, , , Yogurt, 
 , ,Butter,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, 
 , ,Butter, , ,Dill,Eggs,IceCream, , ,Nutmeg, , , , , Chocolate
Apple, ,Butter, , , ,Eggs, , ,Milk,Nutmeg,Onion,Sugar, Unicorn, , 
Apple,Bread,Butter, ,Corn, ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , , , ,Corn,Dill,Eggs,IceCream,KidneyBeans,Milk, ,Onion, , , Yogurt, 
Apple, ,Butter, ,Corn, , , ,KidneyBeans,Milk, ,Onion, , Unicorn, , 
 ,Bread, , , ,Dill, , ,KidneyBeans, , ,Onion,Sugar, Unicorn, Yogurt, 
Apple, ,Butter,Cheese, , , , ,KidneyBeans, , , ,Sugar, , , 
 , , ,Cheese, , , ,IceCream, , , ,Onion, , , Yogurt, 
 ,Bread,Butter, , ,Dill, ,IceCream, ,Milk,Nutmeg,Onion,Sugar, , , Chocolate
 , ,Butter,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, , , Unicorn, Yogurt, 
Apple, ,Butter, ,Corn, , ,IceCream,KidneyBeans, , ,Onion,Sugar, Unicorn, , 
Apple,Bread, ,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk, , , , Unicorn, , 
 , , ,Cheese, , , , , ,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread, ,Cheese, , , , , , , , , , , , Chocolate
Apple, ,Butter,Cheese,Corn,Dill, , ,KidneyBeans, , ,Onion, , Unicorn, Yogurt, Chocolate
Apple, , , ,Corn, , ,IceCream, , ,Nutmeg,Onion,Sugar, , Yogurt, 
 ,Bread,Butter, , ,Dill, , , ,Milk,Nutmeg,Onion,Sugar, , , 
 , ,Butter,Cheese,Corn, ,Eggs,IceCream, ,Milk, ,Onion, , , , 
 , , , , , ,Eggs,IceCream,KidneyBeans,Milk, , ,Sugar, Unicorn, Yogurt, 
Apple, ,Butter,Cheese, ,Dill, , ,KidneyBeans,Milk, , ,Sugar, , Yogurt, Chocolate
Apple, , , , , , ,IceCream, ,Milk, , , , Unicorn, , 
 , ,Butter, , , , , ,KidneyBeans,Milk, , , , , , 
Apple, , ,Cheese,Corn, ,Eggs, , ,Milk,Nutmeg,Onion, , Unicorn, Yogurt, 
 ,Bread, , ,Corn, , , ,KidneyBeans,Milk, , ,Sugar, , , Chocolate
 , , ,Cheese,Corn, , , ,KidneyBeans, , ,Onion, , , , 
 ,Bread, ,Cheese,Corn,Dill, , ,KidneyBeans,Milk, , ,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread,Butter,Cheese, , , ,IceCream, ,Milk, , ,Sugar, , Yogurt, Chocolate
Apple, ,Butter, , ,Dill,Eggs,IceCream,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple, , , , , ,Eggs, , , , , , , , , 
 ,Bread, , , ,Dill,Eggs,IceCream, ,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
Apple,Bread,Butter,Cheese, , ,Eggs, , ,Milk,Nutmeg, , , , Yogurt, 
 , ,Butter,Cheese,Corn,Dill, , ,KidneyBeans, , ,Onion, , , Yogurt, Chocolate
 , , , ,Corn, , , , , , , , , , , 
 , ,Butter,Cheese, ,Dill, ,IceCream, ,Milk,Nutmeg, ,Sugar, , , Chocolate
Apple,Bread,Butter, ,Corn, , , , , ,Nutmeg,Onion,Sugar, , Yogurt, 
 , ,Butter, ,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple, ,Butter, ,Corn,Dill, ,IceCream,KidneyBeans, , , ,Sugar, , , Chocolate
 , , , ,Corn, ,Eggs, , , ,Nutmeg, , , , Yogurt, 
Apple, ,Butter,Cheese,Corn,Dill,Eggs, ,KidneyBeans, ,Nutmeg,Onion, , , Yogurt, 
Apple, ,Butter,Cheese,Corn, , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, , Chocolate
Apple, , , , , , , , , , ,Onion, , , , 
 , , , , , , , , , , , ,Sugar, , , 
 , , , , ,Dill,Eggs, , , , , ,Sugar, , , 
 ,Bread,Butter, , , , , , ,Milk,Nutmeg, , , , , 
 ,Bread,Butter,Cheese,Corn,Dill,Eggs,IceCream, ,Milk, ,Onion,Sugar, Unicorn, , 
 ,Bread,Butter,Cheese,Corn, , ,IceCream,KidneyBeans,Milk,Nutmeg, , , , Yogurt, Chocolate
 , , , ,Corn,Dill, ,IceCream, , , , , , Unicorn, , 
 ,Bread, ,Cheese, , , , ,KidneyBeans,Milk, , , , Unicorn, , 
Apple, , , , , , ,IceCream,KidneyBeans,Milk,Nutmeg, , , Unicorn, Yogurt, 
 ,Bread,Butter, , , ,Eggs, ,KidneyBeans, , , ,Sugar, Unicorn, , 
 , , , ,Corn, , , , , ,Nutmeg, , , Unicorn, , 
Apple, , ,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk, , , , , Yogurt, Chocolate
Apple,Bread, ,Cheese,Corn, ,Eggs,IceCream, , , ,Onion,Sugar, Unicorn, , Chocolate
Apple,Bread,Butter,Cheese, ,Dill,Eggs, ,KidneyBeans, , ,Onion, , , Yogurt, Chocolate
 ,Bread,Butter, , , , ,IceCream,KidneyBeans, , , ,Sugar, Unicorn, Yogurt, 
Apple,Bread,Butter, ,Corn, ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, Unicorn, , Chocolate
 , ,Butter,Cheese, ,Dill,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , , , 
 , , ,Cheese,Corn, , , , ,Milk, , , , Unicorn, Yogurt, 
 ,Bread,Butter,Cheese,Corn,Dill,Eggs, ,KidneyBeans, , ,Onion,Sugar, Unicorn, , Chocolate
 , ,Butter,Cheese,Corn,Dill,Eggs,IceCream,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , ,Butter, ,Corn, , , , ,Milk, , ,Sugar, Unicorn, Yogurt, 
Apple,Bread,Butter,Cheese,Corn, ,Eggs, , , ,Nutmeg,Onion,Sugar, , Yogurt, Chocolate
Apple,Bread, , ,Corn, , , , , , , , , , Yogurt, 
 , , ,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, , , , , 
 ,Bread, ,Cheese,Corn,Dill, ,IceCream, ,Milk, ,Onion,Sugar, , Yogurt, Chocolate
Apple, , , , ,Dill,Eggs,IceCream, , ,Nutmeg, ,Sugar, , , Chocolate
 , , , , ,Dill, , , , , ,Onion,Sugar, , , Chocolate
Apple,Bread,Butter,Cheese, , , ,IceCream, , ,Nutmeg,Onion, , Unicorn, Yogurt, 
 , , ,Cheese, ,Dill,Eggs,IceCream,KidneyBeans, , ,Onion, , , , Chocolate
 , ,Butter,Cheese, , , ,IceCream,KidneyBeans,Milk, ,Onion,Sugar, , Yogurt, 
 ,Bread, ,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, Unicorn, Yogurt, 
Apple, , , ,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg, , , , Yogurt, Chocolate
 , , , , ,Dill, , , , , , , , , Yogurt, 
 ,Bread,Butter, , ,Dill,Eggs, ,KidneyBeans, ,Nutmeg,Onion, , Unicorn, Yogurt, 
Apple, , , , , , , , , , , , , , , 
 , ,Butter, , ,Dill, , ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread, , ,Corn, , ,IceCream, , , ,Onion,Sugar, , , 
Apple, , , , , ,Eggs,IceCream, ,Milk, ,Onion,Sugar, , Yogurt, 
 ,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, 
 , ,Butter,Cheese, , , ,IceCream, , , , ,Sugar, , Yogurt, Chocolate
Apple,Bread,Butter, , ,Dill, , ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, 
 , , , , , ,Eggs, , , , , ,Sugar, , Yogurt, 
Apple,Bread,Butter,Cheese, ,Dill, ,IceCream, , ,Nutmeg,Onion, , Unicorn, , 
 , , , , , ,Eggs,IceCream, ,Milk,Nutmeg,Onion,Sugar, , , Chocolate
 , , ,Cheese, , , , , , , , , , , , 
 , , , , ,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, , Chocolate
 , ,Butter,Cheese,Corn,Dill,Eggs,IceCream, ,Milk,Nutmeg,Onion, , Unicorn, , Chocolate
 , , , ,Corn, ,Eggs,IceCream,KidneyBeans, ,Nutmeg,Onion, , , Yogurt, Chocolate
 , , , , , , ,IceCream, , , , , , , Yogurt, Chocolate
 ,Bread,Butter, , , ,Eggs,IceCream, ,Milk, ,Onion, , Unicorn, Yogurt, Chocolate
Apple, ,Butter,Cheese,Corn, , ,IceCream, , ,Nutmeg, , , Unicorn, , 
 , ,Butter,Cheese, , , , , ,Milk, , , , Unicorn, , 
 ,Bread, , ,Corn, ,Eggs,IceCream,KidneyBeans, , ,Onion, , , Yogurt, 
 , , , , ,Dill, , , ,Milk, , , , , , 
Apple, , , , , , ,IceCream, ,Milk, ,Onion,Sugar, , Yogurt, Chocolate
 , ,Butter, ,Corn, , , ,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
 , , ,Cheese,Corn, , , , , ,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
Apple, ,Butter, , ,Dill, , , ,Milk,Nutmeg, ,Sugar, , Yogurt, 
Apple,Bread,Butter,Cheese, , ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, , Yogurt, 
Apple, ,Butter, ,Corn, ,Eggs, , , ,Nutmeg, ,Sugar, Unicorn, , 
Apple, , , , , , , , , , , , , , , 
Apple,Bread, ,Cheese,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, , 
Apple, , , , ,Dill,Eggs, , , ,Nutmeg,Onion,Sugar, , , 
Apple, , , ,Corn, , , ,KidneyBeans, , , , , Unicorn, Yogurt, Chocolate
 ,Bread, ,Cheese, ,Dill, , , , , , , , , Yogurt, 
 ,Bread,Butter,Cheese, , , ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, , Yogurt, 
 , , ,Cheese,Corn,Dill,Eggs, ,KidneyBeans, ,Nutmeg,Onion, , , , 
 , ,Butter,Cheese,Corn,Dill, ,IceCream, , ,Nutmeg,Onion, , Unicorn, , Chocolate
Apple, ,Butter,Cheese, , , ,IceCream, ,Milk,Nutmeg,Onion,Sugar, , , Chocolate
 ,Bread,Butter,Cheese, , , , , ,Milk, ,Onion,Sugar, Unicorn, , 
Apple,Bread, , , , ,Eggs,IceCream,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, Yogurt, 
Apple, , , , ,Dill, , , , , ,Onion,Sugar, , Yogurt, Chocolate
Apple, , , , , , ,IceCream, ,Milk,Nutmeg, , , , Yogurt, Chocolate
Apple, ,Butter, ,Corn,Dill,Eggs, , ,Milk, , ,Sugar, , Yogurt, 
Apple, ,Butter, , ,Dill, ,IceCream, , , , , , , , 
 , , , , , ,Eggs, , , , , , , Unicorn, , 
 , , , , ,Dill, , , ,Milk, ,Onion,Sugar, , Yogurt, Chocolate
 ,Bread,Butter, , ,Dill, ,IceCream,KidneyBeans,Milk, ,Onion, , , , 
Apple,Bread,Butter,Cheese,Corn, ,Eggs, ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, , 
 , , , , ,Dill, , , , , , , , , Yogurt, 
 , ,Butter, ,Corn, , , , , , ,Onion,Sugar, , , 
Apple, ,Butter, , ,Dill, , , ,Milk, ,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple,Bread,Butter,Cheese,Corn, ,Eggs,IceCream, , ,Nutmeg,Onion,Sugar, , , 
 , , ,Cheese, , , , , , , , , , , , 
 , , ,Cheese,Corn,Dill,Eggs,IceCream, , , , , , Unicorn, Yogurt, 
Apple, , ,Cheese,Corn, ,Eggs,IceCream, ,Milk, ,Onion, , , , 
 ,Bread, ,Cheese, ,Dill, ,IceCream, ,Milk,Nutmeg, ,Sugar, , Yogurt, Chocolate
 , ,Butter,Cheese, , , ,IceCream, , ,Nutmeg, , , Unicorn, , 
 , , ,Cheese, ,Dill, , , , ,Nutmeg, , , , , 
 ,Bread,Butter, , ,Dill, , ,KidneyBeans, , ,Onion,Sugar, Unicorn, Yogurt, 
 , , , , , , , ,KidneyBeans, , ,Onion, , , , Chocolate
Apple,Bread, , ,Corn, , , ,KidneyBeans,Milk,Nutmeg,Onion, , Unicorn, Yogurt, Chocolate
 , ,Butter,Cheese,Corn,Dill,Eggs, , , ,Nutmeg,Onion, , , , 
 ,Bread, , , , ,Eggs, , ,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, 
 , ,Butter,Cheese,Corn, , ,IceCream,KidneyBeans, , ,Onion, , , , 
 ,Bread, , ,Corn, , , ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
 , ,Butter, ,Corn, ,Eggs,IceCream, , , ,Onion, , , , Chocolate
Apple, , , ,Corn,Dill,Eggs, ,KidneyBeans,Milk, , , , , Yogurt, Chocolate
 ,Bread,Butter,Cheese,Corn,Dill, , ,KidneyBeans, , ,Onion, , , , 
 , , ,Cheese,Corn,Dill, ,IceCream,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, , Chocolate
 , , , , , , , ,KidneyBeans, , , , , , , 
 , ,Butter, ,Corn, ,Eggs, , , , , , , Unicorn, , Chocolate
Apple,Bread, ,Cheese,Corn, , ,IceCream,KidneyBeans,Milk, , , , , , 
Apple,Bread, , ,Corn, ,Eggs, ,KidneyBeans, ,Nutmeg,Onion,Sugar, Unicorn, Yogurt, Chocolate
Apple, ,Butter, ,Corn,Dill, ,IceCream, , , , , , , Yogurt, 
Apple,Bread, , , ,Dill,Eggs, , , ,Nutmeg, , , , Yogurt, Chocolate
Apple, , , , , , , ,KidneyBeans, , , ,Sugar, Unicorn, , Chocolate
Apple, , , , ,Dill, , , , ,Nutmeg, , , , Yogurt, 
Apple, ,Butter,Cheese, ,Dill, ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , Yogurt, Chocolate
 ,Bread, ,Cheese,Corn, ,Eggs, , , ,Nutmeg, ,Sugar, , , Chocolate
 , , ,Cheese,Corn, ,Eggs, , , , , , , Unicorn, , 
Apple,Bread, ,Cheese,Corn,Dill, ,IceCream,KidneyBeans,Milk, , , , , , Chocolate
Apple, ,Butter, ,Corn, ,Eggs, , , ,Nutmeg, ,Sugar, , , Chocolate
 ,Bread, ,Cheese,Corn,Dill, ,IceCream,KidneyBeans, ,Nutmeg,Onion, , , Yogurt, 
Apple,Bread, ,Cheese,Corn,Dill,Eggs, ,KidneyBeans,Milk, , ,Sugar, Unicorn, Yogurt, Chocolate
Apple, , ,Cheese, ,Dill,Eggs, , , ,Nutmeg,Onion, , , , 
Apple,Bread, , ,Corn, , , ,KidneyBeans,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
Apple, , ,Cheese,Corn,Dill, ,IceCream, ,Milk,Nutmeg, ,Sugar, Unicorn, Yogurt, Chocolate
 ,Bread, , ,Corn,Dill,Eggs,IceCream,KidneyBeans, , , , , , Yogurt, Chocolate
 , , , , ,Dill, , , , , , , , Unicorn, , 
Apple, , ,Cheese,Corn,Dill,Eggs, ,KidneyBeans,Milk,Nutmeg,Onion,Sugar, Unicorn, , Chocolate
 , , ,Cheese,Corn, , , , , , ,Onion,Sugar, Unicorn, , 
 ,Bread, ,Cheese, , , ,IceCream, ,Milk,Nutmeg,Onion, , , , 
Apple,Bread,Butter,Cheese, , , ,IceCream,KidneyBeans, ,Nutmeg, ,Sugar, , , Chocolate
Apple, , ,Cheese, ,Dill, , , , ,Nutmeg, , , , , 
 , , , , ,Dill, ,IceCream, , , , , , , , 
Apple, , , ,Corn,Dill, ,IceCream,KidneyBeans, , , , , Unicorn, Yogurt, 
 , , , , , , , ,KidneyBeans, , ,Onion, , , , 
 ,Bread, , , , ,Eggs,IceCream,KidneyBeans,Milk, ,Onion,Sugar, , Yogurt, Chocolate
 , ,Butter, , , , , ,KidneyBeans, ,Nutmeg, , , , , 
Apple, ,Butter,Cheese,Corn, , ,IceCream,KidneyBeans,Milk, ,Onion,Sugar, Unicorn, , Chocolate
